State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,1588407,161680,9743,34572,640,4883,249,470681,382981,87700,223799,0,43437,333171,82673,1145.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,779243,8360,996,150969,171,1172,530,258380,55360,203020,284357,0,3210,153301,13142,1109.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,1408801,70842,9725,15097,944,7451,254,523691,381988,141703,197937,0,67087,305751,102343,1170.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,1701061,21650,1945,12270,334,3620,33,456126,154113,302013,408785,0,10132,285004,33400,1147.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,945693,8247,734,1042,105,645,22,290144,78328,211816,170448,0,5034,168558,19241,1160.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,1276669,23016,889,29103,172,2594,56,368000,89665,278335,282351,0,5263,222462,23750,1148.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,974520,8232,1769,87558,265,351,70,306787,75696,231091,247513,0,3724,187349,15301,1135.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,1341002,31650,2049,126207,532,1516,49,428602,135920,292682,339604,0,11163,267223,29253,1127.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,805175,15970,1943,140395,214,375,106,291821,88268,203553,215128,0,7356,171908,21951,1126.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,913251,5660,301,1737,75,644,15,267942,44216,223726,156314,0,2624,135455,13908,1118.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,490702,23451,2583,40951,1008,1626,90,164551,93656,70895,101830,0,18615,103455,32174,1146.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,1083936,86622,2261,25064,289,4647,99,327306,153804,173502,206213,0,10024,209965,26719,1158.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,889133,5713,701,1804,202,1525,12,268754,69305,199449,182606,0,5121,152651,18092,1113.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,1043887,8185,732,3916,200,3491,24,306942,131739,175203,216889,0,8482,193120,27225,1154.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,940255,9524,2186,338962,370,2256,624,338792,93316,245476,387381,0,6287,215527,22706,1114.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,371973,6984,236,2387,113,10,7,164445,11987,152458,98989,10693,1574,79146,6281,1019.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,2540763,57973,20745,6373,2979,2357,29122,737806,188174,549632,552992,498469,8566,519704,30892,1030.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,479782,32455,1559,2745,1740,57,14,200231,13836,186395,111690,135500,1615,96082,5117,1014.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,449412,3711,243,591,95,293,9,211348,15232,196116,109256,3044,2521,104120,7525,913.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1010014,91269,814,196,74,41,273,311381,55300,256081,241198,474,1196,55929,11037,1162.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,1461140,19797,3023,8929,14511,194,208,627328,39007,588321,319385,84564,8053,330081,22753,988.0,76.0
